GVIL_CODE,VILLAGE_NM,DIST_NAME,DISTRICT_CODE,PS_NAME,BLOCK_CODE,GP_NAME,GP_CODE
32191,hirapur,sawai madhopur,,gangapur,,talawara,
32315,hatoondi,ajmer,,peesangan,,daurai (rural),
4,dantra,ajmer,,peesangan,,budhwara,
32193,narayanpur,sawai madhopur,,gangapur,,narayanpur,
32324,pratappura,ajmer,,peesangan,,pagara,
32325,mewariya,ajmer,,peesangan,,pagara,
32272,anwar nagar @ bhoorawali,tonk,,tonk,,banwara,
32323,jajiwal bhandariya,jodhpur,113,mandor,811310,jajiwal kalan,811310140
32202,barh tatwara,sawai madhopur,,gangapur,,talawara,
17668,aantra,jaisalmer,,sam,,mandai,
17699,udaisar,jodhpur,,balesar,,nimbon ka gaon,
32322,rajosi,ajmer,,srinagar,,danta,
32334,kaisarpura,ajmer,,peesangan,,pagara,
32319,gaderi,ajmer,,srinagar,,beer,
32190,inayati,karauli,107,sapotra,810705,bhartoon,810705090
32187,singoopura,karauli,107,sapotra,810705,kachroda,810705240
32214,khera barh ramgarh,sawai madhopur,,gangapur,,talawara,
17679,pannawas,barmer,115,sheo,811515,undoo,811515270
32229,karel,sawai madhopur,108,bamanwas,810801,sancholi,810801310
17692,ramgarh,jodhpur,113,shergarh,811315,gumansinghpura,811315130
32335,bora was,jodhpur,113,mandor,811310,jajiwal kalan,811310140
32299,bheepur,tonk,,malpura,,diggi,
17702,keroo,jodhpur,,mandor,,popawas,
32170,chaube ki guwari,karauli,107,karauli,810702,atewa,810702010
32204,harisinghpura,karauli,107,sapotra,810705,bhartoon,810705090
17670,rabri chak,jaisalmer,,sam,,mandai,
32236,barh bariyara chak no.1,sawai madhopur,108,bonli,810802,jastana,810802180
32261,jeewali,tonk,,niwai,,jhilai,
32244,kodyai,sawai madhopur,108,bonli,810802,datooli,810802120
32352,chirdhani,jodhpur,,bilara,,nanan,
32300,kateeriya mand,tonk,,tonk,,chogai,
32351,buch kalan,jodhpur,,bhopalgarh,,bara kalan,
32145,dargawan,karauli,,sapotra,,ond,
32316,rajpura,tonk,120,malpura,812002,kacholiya,812002160
32219,bairunda,karauli,107,sapotra,810705,bhartoon,810705090
32350,kukanda,jodhpur,,mandor,,salwa kalan,
6965,rancholi,karauli,,sapotra,,ond,
32328,suwadiyari,tonk,120,malpura,812002,antoli,812002010
17703,tolesar charnan,jodhpur,113,balesar,811301,bawarli,811301050
32359,murkasni,pali,,jaitaran,,digarna,
32265,bapui,tonk,,niwai,,teetoli @ bara gaon,
32292,deori,tonk,,niwai,,dangarthal,
17701,jatawas,jodhpur,,shergarh,,khirjan tibna,
32355,jajiwal kalan,jodhpur,113,mandor,811310,jajiwal kalan,811310140
32274,ramnagar dhaturi,tonk,,niwai,,teetoli @ bara gaon,
5,dodiyana,ajmer,,peesangan,,bhanwta,
32331,rampura bas ganwar,tonk,120,malpura,812002,deshma,812002090
17705,tolesar purohitan,jodhpur,,balesar,,agolai,
32364,rabariyas,pali,,jaitaran,,lambiya,
